step, m1, m2, b1, b2


216, -2.1445069205095595, -2.144506920509558, 203.5064627857651, 283.9573166129501
217, -2.144506920509558, -2.1445069205095577, 174.66865446264924, 311.9083462854941
218, -2.14450692050956, -2.144506920509559, 201.58365052789856, 286.76690752138836
219, -2.1445069205095564, -2.144506920509559, 193.0056228458601, 297.11849250457027
220, -2.1445069205095586, -2.1445069205095586, 194.3357908217179, 298.44866048042786
221, -2.14450692050956, -2.14450692050956, 189.75264261213607, 298.5979154371511
222, -2.1445069205095586, -2.1445069205095595, 188.87023950644766, 283.51830283254765
223, -2.14450692050956, -2.1445069205095595, 171.12153986036228, 308.3612316832071
224, -2.14450692050956, -2.144506920509559, 181.7672592121068, 304.80974153603665
225, -2.144506920509559, -2.1445069205095586, 180.880480561535, 303.92296288546487
226, -2.14450692050956, -2.144506920509557, 172.67340249886283, 309.9130943217076
227, -2.1445069205095577, -2.1445069205095564, 198.84649932537994, 293.4945626514798
228, -2.144506920509556, -2.1445069205095586, 183.6900714699733, 302.00015062759826
229, -2.1445069205095613, -2.1445069205095586, 169.79137188450463, 307.03106370734946
230, -2.1445069205095586, -2.1445069205095595, 190.49454185086805, 289.8750083432729
231, -2.14450692050956, -2.1445069205095555, 208.08961099534707, 283.80806165622676
232, -2.1445069205095586, -2.1445069205095604, 210.45581257849952, 281.44186007307457
233, -2.144506920509557, -2.1445069205095613, 181.3282454317042, 290.17351825671926
234, -2.1445069205095586, -2.144506920509556, 187.7617661932329, 282.4098295193326
235, -2.1445069205095586, -2.1445069205095613, 180.4414667811325, 289.28673960614753
236, -2.1445069205095577, -2.144506920509558, 194.56186102924423, 284.4775211890391
237, -2.1445069205095586, -2.144506920509559, 193.74752208459233, 288.3955854106923
238, -2.1445069205095586, -2.14450692050956, 207.86791633270397, 283.586366993584
239, -2.1445069205095573, -2.144506920509559, 179.4054331738376, 292.98310916515754
240, -2.1445069205095586, -2.144506920509559, 185.0970546966342, 293.9423275216492
241, -2.1445069205095577, -2.144506920509559, 178.51865452326587, 292.0963305145859
242, -2.144506920509559, -2.1445069205095586, 170.6781505350763, 307.9178423579213
243, -2.144506920509559, -2.1445069205095626, 186.94742724858105, 286.3278937409861
244, -2.1445069205095573, -2.1445069205095617, 203.13551316639905, 288.31877015988914
245, -2.1445069205095586, -2.1445069205095604, 186.06064859800924, 285.4411150904142
246, -2.14450692050956, -2.144506920509559, 198.92769012106666, 269.91373761564165
247, -2.14450692050956, -2.1445069205095577, 208.23886595207017, 279.224913446645
248, -2.144506920509559, -2.144506920509558, 185.68969897864312, 289.8025686373531
249, -2.1445069205095586, -2.1445069205095595, 178.44183927246266, 301.48432159639253
250, -2.1445069205095595, -2.1445069205095564, 192.56223352057438, 296.6751031792841
251, -2.14450692050956, -2.1445069205095626, 177.70431557861403, 296.014394736239
252, -2.144506920509558, -2.144506920509558, 183.47275235221386, 287.58562201092377
253, -2.1445069205095573, -2.14450692050956, 183.69444701485673, 287.80731667356673
254, -2.144506920509561, -2.1445069205095586, 188.20077997363555, 297.04605279865035
255, -2.1445069205095573, -2.14450692050956, 199.7376535208351, 280.1885073480201
